28 LIPCA 1943; Zwierzyniec
29 LISTOPADA Nr.1-39 b, 2-36, brak nr.38 i 40; Stare Miasto
29 LISTOPADA Nr.41-d.k. 42-d.k.; Prądnik Czerwony
29 LISTOPADA; Prądnik Biały
2 PUŁKU LOTNICZEGO; Czyżyny
308 DYWIZJONU; Czyżyny
3 MAJA; Łobzów
3 MAJA; Zwierzyniec
6 SIERPNIA; Prądnik Czerwony
6 SIERPNIA; Łobzów
8 PUŁKU UŁANÓW; Dębniki
8 PUŁKU UŁANÓW; Łagiewniki
ABRAHAMA; Wola Duchacka
AGATOWA; Prokocim-Bieżanów
AGAWY; Podgórze
AGRESTOWA; Zwierzyniec
AKACJOWA; Prądnik Czerwony
AKADEMICKA; Łobzów
AKADEMICKIE; Czyżyny
ALBAŃSKA; Wola Duchacka
ALBATROSÓW; Podgórze
ALBERTYŃSKIE; Bieńczyce
ADOLFA ALEKSANDROWICZA; Swoszowice
ALEKSANDRY; Prokocim-Bieżanów
ALGIERSKA; Wola Duchacka
ALINY; Prądnik Czerwony
ALTANOWA; Bronowice
AMARANTOWA; Swoszowice
AMAZONEK; Zwierzyniec
AMETYSTOWA; Prokocim-Bieżanów
ANDEGAWEŃSKA; Bieńczyce
HANSA CHRISTIANA ANDERSENA; Bieńczyce
IVO ANDRICIA; Wola Duchacka
JÓZEFA ANDRUSIKIEWICZA; Prokocim-Bieżanów
ANDRYCHOWSKA; Wola Duchacka
ANTYCZNA; Prądnik Czerwony
ANUSI; Dębniki
ARCHITEKTÓW; Grębałów
TOMASZA ARCISZEWSKIEGO; Bronowice
HENRYKA ARCTOWSKIEGO; Czyżyny
ARIAŃSKA; Grzegórzki
ARKTYCZNA; Dębniki
ARMII KRAJOWEJ; Bronowice
ARMII KRAJOWEJ; Łobzów
ARMII ”KRAKÓW”; Swoszowice
ARSENAŁ; Prądnik Biały
ARTYSTÓW; Nowa Huta
ADAMA ASNYKA; Stare Miasto
ASTRONAUTÓW; Zwierzyniec
ASTRONOMÓW; Zwierzyniec
AUGUSTIAŃSKA; Stare Miasto
ANTONIEGO AUGUSTYNKA -WICHURY; Łobzów
AZALIOWA; Prądnik Biały
BABIEGO LATA; Swoszowice
BABINICZA; Dębniki
DOKTORA JÓZEFA BABIŃSKIEGO; Dębniki
